record_id,name,type,size
51635,ffgmx.atp,atp,2633
51635,dmpc128W.mdp,mdp,935
51635,ffgmx.itp,itp,169
51635,dmpc128W_1ns.tpr,tpr,3351488
51635,ffgmxbon.itp,itp,30883
51635,dmpc128W_21-130ns.xtc,xtc,853617948
51635,dmpc.itp,itp,12082
51635,dmpc128W_1-130ns.edr,edr,199681452
51635,ffgmxnb.itp,itp,95159
51635,dmpc128W.top,top,317
51635,dmpc128W_70ns.ndx,ndx,237003
8431,2RN2.apo.pdb,pdb,194415
8431,2RN2.apo.dcd,dcd,657801076
8431,order_parameters_magnesium.dat,dat,1811
8431,3K2P.S2.CO.dat,dat,692
8431,2RN2.MG.siteB.pdb,pdb,194415
8431,3P1G.S2.CO.dat,dat,614
8431,1RIL.S2.CO.dat,dat,525
8431,2RN2.S2.CO.dat,dat,672
8431,2RN2.MG.siteA.pdb,pdb,194415
8431,4E89.S2.CO.dat,dat,618
8431,3H08.S2.CO.dat,dat,556
8431,2E4L.S2.CO.dat,dat,619
8431,2RN2.MG.siteA.dcd,dcd,657801076
8431,2QK9.S2.CO.dat,dat,693
8431,2RN2.MG.siteB.dcd,dcd,657801076
13393,md.mdp,mdp,4404
13393,md.xtc,xtc,164403936
13393,popcGromacs4_53a6.itp,itp,12945
13393,topol.top,top,181
13393,start.gro,gro,3974274
573033,exp_data_3exp.mat,mat,21548969
573033,exp_data_3exp_readme.rtf,rtf,741
20561,C12E5new4.trr,trr,618835392
20561,C12E5new3.trr,trr,621687168
20561,C12E5new4.tpr,tpr,839612
20561,C12E5new3.tpr,tpr,839612
20561,C12E5new.trr,trr,824876208
20561,C12E5new.tpr,tpr,839612
20561,C12E5new2.tpr,tpr,839612
20561,C12E5new60-123ns.trr,trr,899022384
20561,C12E5new2.trr,trr,611705952
28638,C12E5new4.trr,trr,547390800
28638,C12E5new3.trr,trr,547390800
28638,C12E5new4.tpr,tpr,1070444
28638,C12E5new.trr,trr,862527600
28638,C12E5new.tpr,tpr,1070444
28638,C12E5new2.tpr,tpr,1070444
28638,C12E5new3.tpr,tpr,1070444
28638,C12E5new2.trr,trr,547390800
28595,C12E5new4.trr,trr,547390800
28595,C12E5new3.trr,trr,547390800
28595,C12E5new4.tpr,tpr,1070444
28595,C12E5new.trr,trr,847954800
28595,C12E5new.tpr,tpr,1070444
28595,C12E5new2.tpr,tpr,1070444
28595,C12E5new3.tpr,tpr,1070444
28595,C12E5new2.trr,trr,547390800
28637,C12E5new4.trr,trr,547390800
28637,C12E5new3.trr,trr,547390800
28637,C12E5new4.tpr,tpr,1070444
28637,C12E5new.trr,trr,857062800
28637,C12E5new.tpr,tpr,1070444
28637,C12E5new2.tpr,tpr,1070444
28637,C12E5new3.tpr,tpr,1070444
28637,C12E5new2.trr,trr,547390800
20221,C12E5new4.trr,trr,585152568
20221,C12E5new3.trr,trr,585152568
20221,C12E5new4.tpr,tpr,689840
20221,C12E5new.trr,trr,610288992
20221,C12E5new.tpr,tpr,689840
20221,C12E5new2.tpr,tpr,689840
20221,C12E5new3.tpr,tpr,689840
20221,C12E5new2.trr,trr,585152568
20664,C12E5new.trr,trr,833431536
20664,C12E5new3.trr,trr,647353152
20664,C12E5new4.tpr,tpr,839612
20664,C12E5new4.trr,trr,631668384
20664,C12E5new2NEW.tpr,tpr,839612
20664,C12E5new2NEW.trr,trr,645214320
20664,C12E5new.tpr,tpr,839612
20664,C12E5new3.tpr,tpr,839612
20368,C12E5new4.trr,trr,632381328
20368,C12E5new3.trr,trr,608854176
20368,C12E5new4.tpr,tpr,839612
20368,C12E5new.trr,trr,839135088
20368,C12E5new.tpr,tpr,839612
20368,C12E5new2.tpr,tpr,839612
20368,C12E5new3.tpr,tpr,839612
20368,C12E5new2.trr,trr,631668384
20549,md_arrhenius_crambin_averaged.sav,sav,1056
20549,md_arrhenius_crambin.spv,spv,59729
